id	n_overlap	n_nonzero	coef_sum	n_true_signal	prop_true_coef	metric
uncorrected	2	2	0.342977711566246	500	1	true signal in non-zero coefs proportion
corrected	4	4	0.653011435966866	500	1	true signal in non-zero coefs proportion
uncorrected	3	3	0.733149140187681	500	1	true signal in non-zero coefs proportion
corrected	4	4	1.13610587243673	500	1	true signal in non-zero coefs proportion
uncorrected	16	16	2.37048379719703	500	1	true signal in non-zero coefs proportion
corrected	8	8	0.928494274716088	500	1	true signal in non-zero coefs proportion
uncorrected	13	13	1.34718704446836	500	1	true signal in non-zero coefs proportion
corrected	5	5	0.695587602030691	500	1	true signal in non-zero coefs proportion
uncorrected	4	4	0.659711379221503	500	1	true signal in non-zero coefs proportion
corrected	10	10	1.60781581885916	500	1	true signal in non-zero coefs proportion
uncorrected	15	15	1.9410336771329	500	1	true signal in non-zero coefs proportion
corrected	6	6	0.948433429409692	500	1	true signal in non-zero coefs proportion
uncorrected	14	14	2.91421316654894	500	1	true signal in non-zero coefs proportion
corrected	13	13	1.32970612449443	500	1	true signal in non-zero coefs proportion
uncorrected	1	1	0.323781825266221	500	1	true signal in non-zero coefs proportion
corrected	3	3	0.414760295470478	500	1	true signal in non-zero coefs proportion
uncorrected	6	6	1.1075027680455	500	1	true signal in non-zero coefs proportion
corrected	3	3	0.556464849589478	500	1	true signal in non-zero coefs proportion
uncorrected	7	7	1.01825395305838	500	1	true signal in non-zero coefs proportion
corrected	12	12	1.59339647025521	500	1	true signal in non-zero coefs proportion
no_batch_effects	19	19	3.01054143221228	500	1	true signal in non-zero coefs proportion
no_batch_effects	23	23	5.44347132725736	500	1	true signal in non-zero coefs proportion
no_batch_effects	28	28	6.16319821320981	500	1	true signal in non-zero coefs proportion
no_batch_effects	15	15	2.33021449076447	500	1	true signal in non-zero coefs proportion
no_batch_effects	7	7	1.07089757450739	500	1	true signal in non-zero coefs proportion
no_batch_effects	9	9	1.62613103166483	500	1	true signal in non-zero coefs proportion
no_batch_effects	3	3	0.508421719643374	500	1	true signal in non-zero coefs proportion
no_batch_effects	10	10	0.95569446468623	500	1	true signal in non-zero coefs proportion
no_batch_effects	9	9	1.04027204502694	500	1	true signal in non-zero coefs proportion
no_batch_effects	19	19	3.04347410725493	500	1	true signal in non-zero coefs proportion
