metric	values	type
logistic_metrics.sensitivity	0.625	uncorrected
logistic_metrics.specificity	0.875	uncorrected
logistic_metrics.balanced_accuracy	0.75	uncorrected
logistic_metrics.sensitivity	0.625	corrected
logistic_metrics.specificity	0.875	corrected
logistic_metrics.balanced_accuracy	0.75	corrected
logistic_metrics.sensitivity	0.875	uncorrected
logistic_metrics.specificity	1	uncorrected
logistic_metrics.balanced_accuracy	0.9375	uncorrected
logistic_metrics.sensitivity	0.875	corrected
logistic_metrics.specificity	1	corrected
logistic_metrics.balanced_accuracy	0.9375	corrected
logistic_metrics.sensitivity	1	uncorrected
logistic_metrics.specificity	0.75	uncorrected
logistic_metrics.balanced_accuracy	0.875	uncorrected
logistic_metrics.sensitivity	1	corrected
logistic_metrics.specificity	1	corrected
logistic_metrics.balanced_accuracy	1	corrected
logistic_metrics.sensitivity	0.75	uncorrected
logistic_metrics.specificity	0.875	uncorrected
logistic_metrics.balanced_accuracy	0.8125	uncorrected
logistic_metrics.sensitivity	0.875	corrected
logistic_metrics.specificity	0.875	corrected
logistic_metrics.balanced_accuracy	0.875	corrected
logistic_metrics.sensitivity	0.75	uncorrected
logistic_metrics.specificity	0.625	uncorrected
logistic_metrics.balanced_accuracy	0.6875	uncorrected
logistic_metrics.sensitivity	0.875	corrected
logistic_metrics.specificity	0.75	corrected
logistic_metrics.balanced_accuracy	0.8125	corrected
logistic_metrics.sensitivity	0.625	uncorrected
logistic_metrics.specificity	0.875	uncorrected
logistic_metrics.balanced_accuracy	0.75	uncorrected
logistic_metrics.sensitivity	1	corrected
logistic_metrics.specificity	1	corrected
logistic_metrics.balanced_accuracy	1	corrected
logistic_metrics.sensitivity	0.625	uncorrected
logistic_metrics.specificity	0.75	uncorrected
logistic_metrics.balanced_accuracy	0.6875	uncorrected
logistic_metrics.sensitivity	0.75	corrected
logistic_metrics.specificity	0.875	corrected
logistic_metrics.balanced_accuracy	0.8125	corrected
logistic_metrics.sensitivity	0.875	uncorrected
logistic_metrics.specificity	0.625	uncorrected
logistic_metrics.balanced_accuracy	0.75	uncorrected
logistic_metrics.sensitivity	0.875	corrected
logistic_metrics.specificity	0.75	corrected
logistic_metrics.balanced_accuracy	0.8125	corrected
logistic_metrics.sensitivity	0.75	uncorrected
logistic_metrics.specificity	0.5	uncorrected
logistic_metrics.balanced_accuracy	0.625	uncorrected
logistic_metrics.sensitivity	0.875	corrected
logistic_metrics.specificity	0.625	corrected
logistic_metrics.balanced_accuracy	0.75	corrected
logistic_metrics.sensitivity	0.75	uncorrected
logistic_metrics.specificity	0.625	uncorrected
logistic_metrics.balanced_accuracy	0.6875	uncorrected
logistic_metrics.sensitivity	1	corrected
logistic_metrics.specificity	1	corrected
logistic_metrics.balanced_accuracy	1	corrected
logistic_metrics.sensitivity	1	no_batch_effects
logistic_metrics.specificity	1	no_batch_effects
logistic_metrics.balanced_accuracy	1	no_batch_effects
logistic_metrics.sensitivity	1	no_batch_effects
logistic_metrics.specificity	1	no_batch_effects
logistic_metrics.balanced_accuracy	1	no_batch_effects
logistic_metrics.sensitivity	1	no_batch_effects
logistic_metrics.specificity	1	no_batch_effects
logistic_metrics.balanced_accuracy	1	no_batch_effects
logistic_metrics.sensitivity	1	no_batch_effects
logistic_metrics.specificity	1	no_batch_effects
logistic_metrics.balanced_accuracy	1	no_batch_effects
logistic_metrics.sensitivity	1	no_batch_effects
logistic_metrics.specificity	1	no_batch_effects
logistic_metrics.balanced_accuracy	1	no_batch_effects
logistic_metrics.sensitivity	1	no_batch_effects
logistic_metrics.specificity	1	no_batch_effects
logistic_metrics.balanced_accuracy	1	no_batch_effects
logistic_metrics.sensitivity	0.888888888888889	no_batch_effects
logistic_metrics.specificity	1	no_batch_effects
logistic_metrics.balanced_accuracy	0.944444444444444	no_batch_effects
logistic_metrics.sensitivity	1	no_batch_effects
logistic_metrics.specificity	1	no_batch_effects
logistic_metrics.balanced_accuracy	1	no_batch_effects
logistic_metrics.sensitivity	0.888888888888889	no_batch_effects
logistic_metrics.specificity	1	no_batch_effects
logistic_metrics.balanced_accuracy	0.944444444444444	no_batch_effects
logistic_metrics.sensitivity	1	no_batch_effects
logistic_metrics.specificity	1	no_batch_effects
logistic_metrics.balanced_accuracy	1	no_batch_effects
